Gender,Attractive and Highly Charismatic,Average and Highly Charismatic,Ugly and Highly Charismatic,Attractive and Some Charisma,Average and Some Charisma,Ugly and Some Charisma,Attractive and a Dullard,Average and a Dullard,Ugly and a Dullard
Male,86,84,67,88,69,50,97,48,47
Male,91,83,53,83,74,48,86,50,46
Male,89,88,48,99,70,48,90,45,48
Male,89,69,58,86,77,40,87,47,53
Male,80,81,57,88,71,50,82,50,45
Male,80,84,51,96,63,42,92,48,43
Male,89,85,61,87,79,44,86,50,45
Male,100,94,56,86,71,54,84,54,47
Male,90,74,54,92,71,58,78,38,45
Male,89,86,63,80,73,49,91,48,39
Female,89,91,93,88,65,54,55,48,52
Female,84,90,85,95,70,60,50,44,45
Female,99,100,89,80,79,53,51,48,44
Female,86,89,83,86,74,58,52,48,47
Female,89,87,80,83,74,43,58,50,48
Female,80,81,79,86,59,47,51,47,40
Female,82,92,85,81,66,47,50,45,47
Female,97,69,87,95,72,51,45,48,46
Female,95,92,90,98,64,53,54,53,45
Female,95,93,96,79,66,46,52,39,47
